time,id,user_id,parent_id,root_id,reply_count,rt_count,like_count,text,topic,is_cont
2021-03-11T19:59:28.000Z,1370102090756988930,15332636,-1,1370102090756988930,19,6,49,"A Dean Henderson error cost Man United a first leg win after Amad Diallo almost stole the show

#MUFC #MUNACM #UEL

https://t.co/5lbYcZ037F",%23mufc,0
2021-03-11T19:59:23.000Z,1370102070750105609,133223849,-1,1370102070750105609,1,2,26,Very lucky to get away with going into the away leg an away goal down. Milan really dominated the play and should’ve won the game with how much they pressured us in the final third. #mufc,%23mufc,0
2021-03-11T19:57:37.000Z,1370101624664915969,57299064,-1,1370101624664915969,5,11,164,Amad the pick of the bunch on a disappointing night for United #mufc https://t.co/nSXK9i4kgC https://t.co/KGvfm9MG2V,%23mufc,0
2021-03-11T19:56:39.000Z,1370101383538565122,17778965,-1,1370101383538565122,2,1,19,"Certainly not blaming Telles for the goal, but his positioning from set pieces is usually very poor. Tends to get caught under crosses, &amp; as an experienced pro, it shows he's no defender. Like Van de Beek, it's obvious why they've not had the minutes we all expected. #MUFC",%23mufc,0
2021-03-11T19:55:42.000Z,1370101143985131521,182301693,-1,1370101143985131521,16,5,131,United player ratings from another uninspiring performance #mufc #UEL https://t.co/Tz08BRP8X2,%23mufc,0
2021-03-11T19:55:20.000Z,1370101050917654528,22145361,-1,1370101050917654528,30,22,149,Poor substitution choices from Solskjaer too. #MUFC,%23mufc,0
2021-03-11T19:54:40.000Z,1370100884785467396,133223849,-1,1370100884785467396,1,3,14,Must not be watching United games that closely then. We played a diamond with a back 4 and it was well documented for that as well as Donny got a rare start. Any system is better than a 5. #mufc https://t.co/TXj1tZUbEh,%23mufc,0
2021-03-11T19:54:24.000Z,1370100815617167362,41105820,-1,1370100815617167362,1,2,55,"Another draw 😭
Dreadful performance 😤
Only positives were Bruno and Amad and maybe Bailly 

#GGMU #MUFC #EuropaLeague #UEL #MUNACM",%23mufc,0
2021-03-11T19:53:57.000Z,1370100703616729090,17778965,-1,1370100703616729090,5,1,16,"I think it was a mistake to go so defensive in the final stages. Yes, shut the door, keep the ball, bore your way to a 1-0, but #MUFC's shape was bad in the last 10 mins. https://t.co/LVHSvXMGDk",%23mufc,0
2021-03-11T19:53:53.000Z,1370100687586131971,191010568,-1,1370100687586131971,0,0,0,"1-1 result fair after that performance. Great goal from Amad, but set-piece defending is still a massive issue.

You can sit deep if you can defend, but not if you can’t guard your front post from a corner - so many #mufc goals conceded from a near-post flick-on.

#uel",%23mufc,0
